민원등록일,민원내용,민원접수번호,민원제목,처리부서,민원유형,처리완료일
2024-01-01,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0001,합성 예제 1,도로관리,시설,
2024-01-08,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0002,합성 예제 2,환경관리,환경,2024-01-10
2024-01-15,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0003,합성 예제 3,도로관리,안전,2024-01-18
2024-01-22,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0004,합성 예제 4,도로관리,시설,2024-01-26
2024-01-29,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0005,합성 예제 5,환경관리,환경,2024-02-03
2024-02-05,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0006,합성 예제 6,도로관리,안전,
2024-02-12,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0007,합성 예제 7,도로관리,시설,2024-02-19
2024-02-19,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0008,합성 예제 8,환경관리,환경,2024-02-27
2024-02-26,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0009,합성 예제 9,도로관리,안전,2024-03-06
2024-03-04,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0010,합성 예제 10,도로관리,시설,2024-03-14
2024-03-11,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0011,합성 예제 11,환경관리,환경,
2024-03-18,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0012,합성 예제 12,도로관리,안전,2024-03-19
2024-03-25,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0013,합성 예제 13,도로관리,시설,2024-03-27
2024-04-01,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0014,합성 예제 14,환경관리,환경,2024-04-04
2024-04-08,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0015,합성 예제 15,도로관리,안전,2024-04-12
2024-04-15,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0016,합성 예제 16,도로관리,시설,
2024-04-22,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0017,합성 예제 17,환경관리,환경,2024-04-28
2024-04-29,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0018,합성 예제 18,도로관리,안전,2024-05-06
2024-05-06,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0019,합성 예제 19,도로관리,시설,2024-05-14
2024-05-13,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0020,합성 예제 20,환경관리,환경,2024-05-22
2024-05-20,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0021,합성 예제 21,도로관리,안전,
2024-05-27,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0022,합성 예제 22,도로관리,시설,2024-06-07
2024-06-03,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0023,합성 예제 23,환경관리,환경,2024-06-04
2024-06-10,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0024,합성 예제 24,도로관리,안전,2024-06-12
2024-06-17,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0025,합성 예제 25,도로관리,시설,2024-06-20
2024-06-24,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0026,합성 예제 26,환경관리,환경,
2024-07-01,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0027,합성 예제 27,도로관리,안전,2024-07-06
2024-07-08,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0028,합성 예제 28,도로관리,시설,2024-07-14
2024-07-15,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0029,합성 예제 29,환경관리,환경,2024-07-22
2024-07-22,야간 횡단보도 조명을 점검해 주세요.,SYN-VOC-0030,합성 예제 30,도로관리,안전,2024-07-30
2024-07-29,학교 앞 도로의 파손된 보도블록을 보수해 주세요.,SYN-VOC-0031,합성 예제 31,도로관리,시설,
2024-08-05,어린이공원에 버려진 쓰레기를 수거해 주세요.,SYN-VOC-0032,합성 예제 32,환경관리,환경,2024-08-15
