접수일,처리부서,접수번호,청구제목,청구내용,결정구분,처리기간
2024-01-21,해솔시 정보통신과,FOI-2024-00001,푸른마루 교차로 CCTV 영상정보 공개 청구,푸른마루 교차로에서 발생한 교통사고 확인을 위해 사고 당일 오후 시간대 방범용 CCTV 영상정보 공개를 청구합니다. 사고 경위 확인에 필요합니다.,공개,15
2024-12-20,여울시 단비구 정보통신과,FOI-2024-00002,한울초 주변 통학로 CCTV 설치 현황 공개 청구,"한울초 주변 통학로에 설치된 방범용 CCTV의 설치 위치, 설치 연도, 화소 수, 관리 부서를 공개하여 주시기 바랍니다. 자녀 통학 안전 확인 목적입니다.",부분공개,18
2022-08-29,누리시 바른구 정보통신과,FOI-2022-00003,새빛시장 주변 CCTV 영상 보관기간 관련 자료 청구,"새빛시장 주변에 설치된 CCTV 영상정보의 보관기간과 열람 절차, 최근 1년간 영상 열람 요청 처리 건수를 공개하여 주시기 바랍니다.",공개,8
2023-03-13,새봄시 한울구 안전총괄과,FOI-2023-00004,새빛시장 주변 절도 사고 관련 영상 열람 청구 (4호),새빛시장 내에서 귀중품이 사라지는 사고가 발생했습니다. 근무 시간 중 발생하여 시장 내 CCTV 영상 확인이 시급합니다. 제품 진열대 주변과 출입구 촬영분을 요청합니다.,공개,16
2022-11-01,누리시 바른구 정보통신과,FOI-2022-00005,맑은마을 커뮤니티센터 내 안전 사고 영상 열람 청구 (5호),커뮤니티센터 이용 중 엘리베이터 고장으로 불편을 겪었습니다. 사고 발생 경위 확인과 시설 관리 파악을 위해 해당 시간 엘리베이터 내부·로비 CCTV 영상을 청구합니다.,부분공개,3
2024-01-26,너울시 물빛구 안전총괄과,FOI-2024-00006,가온로 보행구간 고령자 안전 관련 영상 열람 청구 (6호),가온로 보행구간에서 노인이 넘어지는 사고가 발생했습니다. 보행 인프라 안전확인을 위해 사고 발생 시간 전후 구간 CCTV 영상을 청구합니다. 오후 3시경 해당 구간을 확인 부탁드립니다.,공개,7
2023-08-20,누리시 바른구 정보통신과,FOI-2023-00007,한울초 주변 통학로 안전 점검 영상 열람 청구 (7호),손주 등교길 안전을 확인하고 싶어 해당 구간 CCTV 영상 청구를 합니다. 한울초 주변 통학로에서 아침 7시부터 8시 사이의 영상으로 학생들과 보호자 출입 현황을 확인하고자 합니다.,공개,16
2025-01-11,새봄시 한울구 안전총괄과,FOI-2025-00008,도담천 산책로 고령자 이용실태 영상 열람 청구 (8호),도담천 산책로를 자주 이용하는데 최근 시설 상태가 걱정됩니다. 산책로 주요 구간의cctv 영상을 확인하여 안전하게 이용하고자 합니다. 특히 계절이 바뀌는 시기의 영상을 요청합니다.,공개,1
2025-12-04,해솔시 정보통신과,FOI-2025-00009,미르로 교차로 보행자 신호 위반 관련 영상 열람 청구 (9호),미르로 교차로에서 매일 반복되는 보행자 신호 위반 실태를 확인하고자 합니다.보행자 안전을 위해 신호위반 시간대와 현황이 담긴 영상을 요청합니다.,부분공개,10
2023-11-09,너울시 물빛구 정보통신과,FOI-2023-00010,가람공공청사 주변 무장애 시설 확인 영상 열람 청구 (10호),공공청사 주변의 시설 이용 실태를 확인하고 싶습니다. 휠체어 사용자로 출입하는 분의 동선을 파악하기 위한 영상 청구를 합니다. 청사 정문 주변 구간을 요청합니다.,부분공개,12
